-5796*-1.814	10513.944	mul
149501*97	14501597	mul
-179*0.005457	-0.976803	mul
-0.004*115314	-461.256	mul
-67*28976	-1941392	mul
9464352*-3	-28393056	mul
15771754*-2	-31543508	mul
-1942*-2562	4975404	mul
25690*640	16441600	mul
2.4108071*2	4.8216142	mul
7125558*-0.1	-712555.8	mul
-1683709*-0.1	168370.9	mul
-0.2*3226752	-645350.4	mul
-310421*-8	2483368	mul
-412*-0.1255	51.706	mul
515341*1	515341	mul
-600*-0.03213	19.278	mul
-9.37*-4310	40384.7	mul
20130*-144	-2898720	mul
0.89665*3	2.68995	mul
0.5*-123734	-61867	mul
-0.2*41264	-8252.8	mul
15.13857*-0.2	-3.027714	mul
-0.4*-4348156	1739262.4	mul
852*32.04	27298.08	mul
9429096*0.3	2828728.8	mul
21.6*64480	1392768	mul
-62619*-136	8516184	mul
-95615*-147	14055405	mul
0.0942282*-5	-0.471141	mul
-1640144*2	-3280288	mul
4*-2239657	-8958628	mul
128588*48	6172224	mul
-151*1373.7	-207428.7	mul
-151277*-17	2571709	mul
-4*1.4917	-5.9668	mul
0.3*-4056391	-1216917.3	mul
521352*-2	-1042704	mul
480177*-3.7	-1776654.9	mul
-2506.36*0.2	-501.272	mul
0.0086836*-3.5	-0.0303926	mul
2.7*-1433.31	-3869.937	mul
-0.3*-4058226	1217467.8	mul
4975*1902	9462450	mul
2*37423.05	74846.1	mul
6189*1288	7971432	mul
-1656*0.00138	-2.28528	mul
-1.53*30942	-47341.26	mul
-0.095*-597.22	56.7359	mul
10886.5*81	881806.5	mul
-1.61*0.0877	-0.141197	mul
-0.4*1955456	-782182.4	mul
8.6*-170.287	-1464.4682	mul
400782*17	6813294	mul
18847119*0.4	7538847.6	mul
16913*0.81	13699.53	mul
6*-80.5682	-483.4092	mul
-18*-251.441	4525.938	mul
-5.79023*0	0	mul
0.3*253.2057	75.96171	mul
27.830251*-4	-111.321004	mul
-10*1236255	-12362550	mul
0.5*51.258	25.629	mul
-7*-95098.3	665688.1	mul
-45.6*-2181.7	99485.52	mul
-1009567*0.17	-171626.39	mul
-1.545*-35.8	55.311	mul
2211841*-0.1	-221184.1	mul
0.1*-4476.67	-447.667	mul
18688*-514	-9605632	mul
0.10209*-48.4	-4.941156	mul
-45252*21.1	-954817.2	mul
1*2697615	2697615	mul
0.5*-2581922	-1290961	mul
-274*11.008	-3016.192	mul
6*245021	1470126	mul
-0.3882328*1	-0.3882328	mul
0.0487552*-0.4	-0.01950208	mul
-197440*-1.7	335648	mul
-20*-1284.27	25685.4	mul
0*3995175	0	mul
5*11.24845	56.24225	mul
-1366*11494	-15700804	mul
2*-908435	-1816870	mul
252*-33701	-8492652	mul
-325.1*-47.8	15539.78	mul
35.1*28978	1017127.8	mul
-1.433765*-0.2	0.286753	mul
59127.82*0.2	11825.564	mul
-986*467	-460462	mul
1*34.47823	34.47823	mul
483146*20	9662920	mul
0.5*3049186	1524593	mul
19675535*0.3	5902660.5	mul
-2.1*-0.276524	0.5807004	mul
-16153.14*-0.5	8076.57	mul
0.16957523*5	0.84787615	mul
2713963*3	8141889	mul
-257*-56645	14557765	mul
-0.11*-0.0834722	0.009181942	mul
0.0115268*-19	-0.2190092	mul
-2.2*-248815	547393	mul
418565*4	1674260	mul
39.81*-2232	-88855.92	mul
-0.2*68.405	-13.681	mul
-5*-2200560	11002800	mul
98958*86	8510388	mul
0.4679147*0.1	0.04679147	mul
1.01*-80380	-81183.8	mul
393.717*-33	-12992.661	mul
0.1818*9796	1780.9128	mul
-50*-0.01495	0.7475	mul
-399*-10946	4367454	mul
-1*1410077	-1410077	mul
1684698*-0.2	-336939.6	mul
4*174194.5	696778	mul
-61054*-93	5678022	mul
-895*6856	-6136120	mul
-14.186372*0.2	-2.8372744	mul
-134401*-0.14	18816.14	mul
-67.55*-0.182	12.2941	mul
-486793*-1.3	632830.9	mul
-6.639*153	-1015.767	mul
7.93003*9	71.37027	mul
0.3*1354.294	406.2882	mul
-19164001*0.4	-7665600.4	mul
3.97547*4	15.90188	mul
-3*-23339	70017	mul
0.1*0.4899339	0.04899339	mul
-23.857*208	-4962.256	mul
-47*0.062698	-2.946806	mul
-14745.73*0.5	-7372.865	mul
-24811*-329	8162819	mul
-0.079*0.074008	-0.005846632	mul
0.0248*10482	259.9536	mul
-903*22658	-20460174	mul
218*-10128	-2207904	mul
0.0024*3854	9.2496	mul
-0.2479*48.23	-11.956217	mul
-2*592071	-1184142	mul
1.26904*69	87.56376	mul
10387406*-1	-10387406	mul
-0.0165617*35	-0.5796595	mul
-547339*-28	15325492	mul
-964.7*-23.9	23056.33	mul
-4*-43049.87	172199.48	mul
-174.6934*0.06	-10.481604	mul
11.6325*52	604.89	mul
5528*-12.1	-66888.8	mul
-2.2*699876	-1539727.2	mul
78527*5	392635	mul
-1.0551*435	-458.9685	mul
81*0.2124	17.2044	mul
-4917779*0.4	-1967111.6	mul
-94*0.11725	-11.0215	mul
-1*57454	-57454	mul
-23.7139*0.02	-0.474278	mul
-0.060259*0.66	-0.03977094	mul
-4*-0.0100791	0.0403164	mul
-7.4*-66570	492618	mul
12909*-96	-1239264	mul
118*10509	1240062	mul
34508.7*0.019	655.6653	mul
10*-1782601	-17826010	mul
-227*11069	-2512663	mul
0*-2923025	0	mul
-6835199*5	-34175995	mul
-3.3*-0.290864	0.9598512	mul
873.242*1	873.242	mul
930261*-18	-16744698	mul
-1.3*-9287.73	12074.049	mul
12100480*-3	-36301440	mul
949566.9*4	3798267.6	mul
-6*237185	-1423110	mul
-0.2*-8.7722	1.75444	mul
13*1657623	21549099	mul
0.3*3208.303	962.4909	mul
-0.2111194*-0.1	0.02111194	mul
-1912044*1	-1912044	mul
-118374.1*0.01	-1183.741	mul
486010*-2.5	-1215025	mul
185*-23566	-4359710	mul
1.73471*-4.6	-7.979666	mul
287854*49	14104846	mul
2.8*1560.9	4370.52	mul
69995.19*3	209985.57	mul
0.26*60513.4	15733.484	mul
-0.1*-128192.3	12819.23	mul
232188*-0.1	-23218.8	mul
-0.1*127.6911	-12.76911	mul
2931*14.81	43408.11	mul
41465.8*1	41465.8	mul
0.1252*20	2.504	mul
108*-0.10414	-11.24712	mul
-8199*209.5	-1717690.5	mul
3*-2572.63	-7717.89	mul
-0.2*2104809	-420961.8	mul
5*-1682763	-8413815	mul
0.01793358*-5	-0.0896679	mul
220002*-36	-7920072	mul
-37615*322	-12112030	mul
111675*-0.35	-39086.25	mul
153*26684	4082652	mul
409*-2215.5	-906139.5	mul
5*-370979	-1854895	mul
-66*48178	-3179748	mul
0.5*-3355057	-1677528.5	mul
11195*0.2	2239	mul
9*0.1422719	1.2804471	mul
5*-571766	-2858830	mul
3718*0.0591	219.7338	mul
19572*71.6	1401355.2	mul
11529.2*0.1	1152.92	mul
-21126.514*-1	21126.514	mul
-1808*-518.8	937990.4	mul
-6371*-453	2886063	mul
18*405426	7297668	mul
1587.8667*0.5	793.93335	mul
1.44*365	525.6	mul
314.251*-0.5	-157.1255	mul
883*-7932	-7003956	mul
-5999*701	-4205299	mul
-12*916566	-10998792	mul
19.6*-4307.9	-84434.84	mul
-0.031*-22521	698.151	mul
123.403*-10.8	-1332.7524	mul
-0.3815311*0.4	-0.15261244	mul
-42883*25.5	-1093516.5	mul
0.3*-3.438254	-1.0314762	mul
-0.1*-1752959	175295.9	mul
-175*-912.72	159726	mul
-1877.6165*0.3	-563.28495	mul
-0.7890527*0.1	-0.07890527	mul
21.26*123	2614.98	mul
-132166*-1.4	185032.4	mul
4*-3685084	-14740336	mul
0.393453*-14	-5.508342	mul
0.4*1.99618	0.798472	mul
-0.2*-19.77951	3.955902	mul
-10528*-244	2568832	mul
3254960*3	9764880	mul
395680*-0.17	-67265.6	mul
-4222.29*-2.3	9711.267	mul
-0.6*-3.74514	2.247084	mul
-4483*-386	1730438	mul
3*2.27706	6.83118	mul
-556*-0.4552	253.0912	mul
-97*0.094	-9.118	mul
-0.21*829576	-174210.96	mul
-15.13*-13.7	207.281	mul
0*143100.1	0	mul
-0.1*-957790	95779	mul
5.34*2376.5	12690.51	mul
0.5464*-1341	-732.7224	mul
19.66*-0.00621	-0.1220886	mul
-10547.5*-27	284782.5	mul
-8*1303623	-10428984	mul
165017*32	5280544	mul
-22031090*-0.5	11015545	mul
13066.35*0.4	5226.54	mul
80*0.081	6.48	mul
-0.99*-7791	7713.09	mul
-42661*0.131	-5588.591	mul
-2.47683*-14	34.67562	mul
0.5*-0.0222327	-0.01111635	mul
-734*-80.6	59160.4	mul
0.4*1159700	463880	mul
-5.1*-170651	870320.1	mul
270043*-41	-11071763	mul
156887*32	5020384	mul
97.2*2.2457	218.28204	mul
-16918.2*0.54	-9135.828	mul
-10231*-10.9	111517.9	mul
287.997*-22	-6335.934	mul
0*2480921	0	mul
-3243*-6.644	21546.492	mul
-754*-0.2495	188.123	mul
