2*(1006/52312)/(2/((-24)/(-1)))	6/13	mul_div_multiple
64/24*(-372)/((-682)/(-22))	-32	mul_div_multiple
((-10)/(-4))/(720/(-7200))	-25	mul_div_multiple
1501/(-79)*(5/(225/10))/(3/27)	-38	mul_div_multiple
87/((-2088)/(-96))*(-94)/8	-47	mul_div_multiple
75/1*8/18*(-20)/(200/15)	-50	mul_div_multiple
(-321)/535*(-10)/(-4)*2	-3	mul_div_multiple
96/(-21)*((-93)/372)/(1/1)	8/7	mul_div_multiple
90/(-63)*1*210/(-120)	5/2	mul_div_multiple
(10521/317968)/(3/(-8))	-3/34	mul_div_multiple
(-2030)/116*(270/(-9))/(-5)*4/(-15)	28	mul_div_multiple
(((-2)/(-224))/((-658)/(-10528)))/(-5)	-1/35	mul_div_multiple
(3/18)/((21/4)/(-21))	-2/3	mul_div_multiple
((-3627)/(-119691))/((-3)/11)	-1/9	mul_div_multiple
(-70)/2*39/(-741)*19	35	mul_div_multiple
36/(-110)*165*136/6732	-12/11	mul_div_multiple
(((-128)/(-1760))/(-1))/((3/(-12))/(45/12))	12/11	mul_div_multiple
(306/34)/(-27)*(-24)/(-54)	-4/27	mul_div_multiple
25/(-14)*2/(19*(-110)/(-209))	-5/14	mul_div_multiple
(-46)/5*(-4490)/898	46	mul_div_multiple
(-16)/(-6)*(-99)/132*9/(108/(-210))	35	mul_div_multiple
(-15)/5*4/(-6)*(-42)/(-6916)*-13	-3/19	mul_div_multiple
((-26)/26)/(-25*(-2)/(-16))*(-31)/124	-2/25	mul_div_multiple
(-760)/(-5985)*(-7)/(-4)	2/9	mul_div_multiple
(-9*(-112)/1764)/(((-6)/15*-5)/(-7))	-2	mul_div_multiple
(-1*2/110)/(-7*(-24)/(-560))	2/33	mul_div_multiple
38*48/2432*(-132)/((-6)/2)	33	mul_div_multiple
((-21)/6*-2)/(1429/(-8574))	-42	mul_div_multiple
20/156*(-198)/(-825)	2/65	mul_div_multiple
15/75*85/(-68)	-1/4	mul_div_multiple
(-3)/96*-10*630/11025	1/56	mul_div_multiple
18*12/(-24)*84/(-3402)	2/9	mul_div_multiple
11/(11/(-94))*(-205)/(-1230)*3*-1	47	mul_div_multiple
(50/45)/(810/1458)	2	mul_div_multiple
(1/(-9)*(-2388)/995)/(6/(-5))	-2/9	mul_div_multiple
(623/(-1157))/(5*-6*(-6)/(-1170))	7/2	mul_div_multiple
3040/13300*(-25)/4	-10/7	mul_div_multiple
4/6*8*24/(-88)*242/(-22)	16	mul_div_multiple
(146/(-438))/(17/(-3))	1/17	mul_div_multiple
(4020/2412)/((-3)/(-792)*-10)	-44	mul_div_multiple
2/(-4)*(1120/21)/32*(-2)/(-20)	-1/12	mul_div_multiple
(-2814)/(-469)*(-1)/((-16)/6*27/18)	3/2	mul_div_multiple
